1:1-4	بسم الله الرحمن الرحيم. الحمد لله رب العالمين. الرحمن الرحيم. مالك يوم الدين.
25:63-77	وعباد الرحمن الذين يمشون على الأرض هونا وإذا خاطبهم الجاهلون قالوا سلاما. والذين يبيتون لربهم سجدا وقياما. والذين يقولون ربنا اصرف عنا عذاب جهنم إن عذابها كان غراما. إنها ساءت مستقرا ومقاما. والذين إذا أنفقوا لم يسرفوا ولم يقتروا وكان بين ذلك قواما. والذين لا يدعون مع الله إلها آخر ولا يقتلون النفس التي حرم الله إلا بالحق ولا يزنون ومن يفعل ذلك يلق أثاما. يضاعف له العذاب يوم القيامة ويخلد فيه مهانا. إلا من تاب وآمن وعمل عملا صالحا فأولئك يبدل الله سيئاتهم حسنات وكان الله غفورا رحيما. ومن تاب وعمل صالحا فإنه يتوب إلى الله متابا. والذين لا يشهدون الزور وإذا مروا باللغو مروا كراما. والذين إذا ذكروا بآيات ربهم لم يخروا عليها صما وعميانا. والذين يقولون ربنا هب لنا من أزواجنا وذرياتنا قرة أعين واجعلنا للمتقين إماما. أولئك يجزون الغرفة بما صبروا ويلقون فيها تحية وسلاما. خالدين فيها حسنت مستقرا ومقاما. قل ما يعبأ بكم ربي لولا دعاؤكم فقد كذبتم فسوف يكون لزاما.
26:1-9	طسم. تلك آيات الكتاب المبين. لعلك باخع نفسك ألا يكونوا مؤمنين. إن نشأ ننزل عليهم من السماء آية فظلت أعناقهم لها خاضعين. وما يأتيهم من ذكر من الرحمن محدث إلا كانوا عنه معرضين. فقد كذبوا فسيأتيهم أنباء ما كانوا به يستهزئون. أولم يروا إلى الأرض كم أنبتنا فيها من كل زوج كريم. إن في ذلك لآية وما كان أكثرهم مؤمنين. وإن ربك لهو العزيز الرحيم.
26:10-22	وإذ نادى ربك موسى أن ائت القوم الظالمين. قوم فرعون ألا يتقون. قال رب إني أخاف أن يكذبون. ويضيق صدري ولا ينطلق لساني فأرسل إلى هارون. ولهم علي ذنب فأخاف أن يقتلون. قال كلا فاذهبا بآياتنا إنا معكم مستمعون. فأتيا فرعون فقولا إنا رسول رب العالمين. أن أرسل معنا بني إسرائيل. قال ألم نربك فينا وليدا ولبثت فينا من عمرك سنين. وفعلت فعلتك التي فعلت وأنت من الكافرين. قال فعلتها إذا وأنا من الضالين. ففررت منكم لما خفتكم فوهب لي ربي حكما وجعلني من المرسلين. وتلك نعمة تمنها علي أن عبدت بني إسرائيل.
26:23-40	قال فرعون وما رب العالمين. قال رب السماوات والأرض وما بينهما إن كنتم موقنين. قال لمن حوله ألا تستمعون. قال ربكم ورب آبائكم الأولين. قال إن رسولكم الذي أرسل إليكم لمجنون. قال رب المشرق والمغرب وما بينهما إن كنتم تعقلون. قال لئن اتخذت إلها غيري لأجعلنك من المسجونين. قال أولو جئتك بشيء مبين. قال فأت به إن كنت من الصادقين. فألقى عصاه فإذا هي ثعبان مبين. ونزع يده فإذا هي بيضاء للناظرين. قال للملإ حوله إن هذا لساحر عليم. يريد أن يخرجكم من أرضكم بسحره فماذا تأمرون. قالوا أرجه وأخاه وابعث في المدائن حاشرين. يأتوك بكل سحار عليم. فجمع السحرة لميقات يوم معلوم. وقيل للناس هل أنتم مجتمعون. لعلنا نتبع السحرة إن كانوا هم الغالبين.
26:41-51	فلما جاء السحرة قالوا لفرعون أئن لنا لأجرا إن كنا نحن الغالبين. قال نعم وإنكم إذا لمن المقربين. قال لهم موسى ألقوا ما أنتم ملقون. فألقوا حبالهم وعصيهم وقالوا بعزة فرعون إنا لنحن الغالبون. فألقى موسى عصاه فإذا هي تلقف ما يأفكون. فألقي السحرة ساجدين. قالوا آمنا برب العالمين. رب موسى وهارون. قال آمنتم له قبل أن آذن لكم إنه لكبيركم الذي علمكم السحر فلسوف تعلمون لأقطعن أيديكم وأرجلكم من خلاف ولأصلبنكم أجمعين. قالوا لا ضير إنا إلى ربنا منقلبون. إنا نطمع أن يغفر لنا ربنا خطايانا أن كنا أول المؤمنين.
26:52-68	وأوحينا إلى موسى أن أسر بعبادي إنكم متبعون. فأرسل فرعون في المدائن حاشرين. إن هؤلاء لشرذمة قليلون. وإنهم لنا لغائظون. وإنا لجميع حاذرون. فأخرجناهم من جنات وعيون. وكنوز ومقام كريم. كذلك وأورثناها بني إسرائيل. فأتبعوهم مشرقين. فلما تراءى الجمعان قال أصحاب موسى إنا لمدركون. قال كلا إن معي ربي سيهدين. فأوحينا إلى موسى أن اضرب بعصاك البحر فانفلق فكان كل فرق كالطود العظيم. وأزلفنا ثم الآخرين. وأنجينا موسى ومن معه أجمعين. ثم أغرقنا الآخرين. إن في ذلك لآية وما كان أكثرهم مؤمنين. وإن ربك لهو العزيز الرحيم.
26:69-89	واتل عليهم نبأ إبراهيم. إذ قال لأبيه وقومه ما تعبدون. قالوا نعبد أصناما فنظل لها عاكفين. قال هل يسمعونكم إذ تدعون. أو ينفعونكم أو يضرون. قالوا بل وجدنا آباءنا كذلك يفعلون. قال أفرأيتم ما كنتم تعبدون. أنتم وآباؤكم الأقدمون. فإنهم عدو لي إلا رب العالمين. الذي خلقني فهو يهدين. والذي هو يطعمني ويسقين. وإذا مرضت فهو يشفين. والذي يميتني ثم يحيين. والذي أطمع أن يغفر لي خطيئتي يوم الدين. رب هب لي حكما وألحقني بالصالحين. واجعل لي لسان صدق في الآخرين. واجعلني من ورثة جنة النعيم. واغفر لأبي إنه كان من الضالين. ولا تخزني يوم يبعثون. يوم لا ينفع مال ولا بنون. إلا من أتى الله بقلب سليم.
26:90-104	وأزلفت الجنة للمتقين. وبرزت الجحيم للغاوين. وقيل لهم أين ما كنتم تعبدون. من دون الله هل ينصرونكم أو ينتصرون. فكبكبوا فيها هم والغاوون. وجنود إبليس أجمعون. قالوا وهم فيها يختصمون. تالله إن كنا لفي ضلال مبين. إذ نسويكم برب العالمين. وما أضلنا إلا المجرمون. فما لنا من شافعين. ولا صديق حميم. فلو أن لنا كرة فنكون من المؤمنين. إن في ذلك لآية وما كان أكثرهم مؤمنين. وإن ربك لهو العزيز الرحيم.
26:105-122	كذبت قوم نوح المرسلين. إذ قال لهم أخوهم نوح ألا تتقون. إني لكم رسول أمين. فاتقوا الله وأطيعون. وما أسألكم عليه من أجر إن أجري إلا على رب العالمين. فاتقوا الله وأطيعون. قالوا أنؤمن لك واتبعك الأرذلون. قال وما علمي بما كانوا يعملون. إن حسابهم إلا على ربي لو تشعرون. وما أنا بطارد المؤمنين. إن أنا إلا نذير مبين. قالوا لئن لم تنته يا نوح لتكونن من المرجومين. قال رب إن قومي كذبون. فافتح بيني وبينهم فتحا ونجني ومن معي من المؤمنين. فأنجيناه ومن معه في الفلك المشحون. ثم أغرقنا بعد الباقين. إن في ذلك لآية وما كان أكثرهم مؤمنين. وإن ربك لهو العزيز الرحيم.
26:123-140	كذبت عاد المرسلين. إذ قال لهم أخوهم هود ألا تتقون. إني لكم رسول أمين. فاتقوا الله وأطيعون. وما أسألكم عليه من أجر إن أجري إلا على رب العالمين. أتبنون بكل ريع آية تعبثون. وتتخذون مصانع لعلكم تخلدون. وإذا بطشتم بطشتم جبارين. فاتقوا الله وأطيعون. واتقوا الذي أمدكم بما تعلمون. أمدكم بأنعام وبنين. وجنات وعيون. إني أخاف عليكم عذاب يوم عظيم. قالوا سواء علينا أوعظت أم لم تكن من الواعظين. إن هذا إلا خلق الأولين. وما نحن بمعذبين. فكذبوه فأهلكناهم إن في ذلك لآية وما كان أكثرهم مؤمنين. وإن ربك لهو العزيز الرحيم.
26:141-159	كذبت ثمود المرسلين. إذ قال لهم أخوهم صالح ألا تتقون. إني لكم رسول أمين. فاتقوا الله وأطيعون. وما أسألكم عليه من أجر إن أجري إلا على رب العالمين. أتتركون في ما هاهنا آمنين. في جنات وعيون. وزروع ونخل طلعها هضيم. وتنحتون من الجبال بيوتا فارهين. فاتقوا الله وأطيعون. ولا تطيعوا أمر المسرفين. الذين يفسدون في الأرض ولا يصلحون. قالوا إنما أنت من المسحرين. ما أنت إلا بشر مثلنا فأت بآية إن كنت من الصادقين. قال هذه ناقة لها شرب ولكم شرب يوم معلوم. ولا تمسوها بسوء فيأخذكم عذاب يوم عظيم. فعقروها فأصبحوا نادمين. فأخذهم العذاب إن في ذلك لآية وما كان أكثرهم مؤمنين. وإن ربك لهو العزيز الرحيم.
26:160-175	كذبت قوم لوط المرسلين. إذ قال لهم أخوهم لوط ألا تتقون. إني لكم رسول أمين. فاتقوا الله وأطيعون. وما أسألكم عليه من أجر إن أجري إلا على رب العالمين. أتأتون الذكران من العالمين. وتذرون ما خلق لكم ربكم من أزواجكم بل أنتم قوم عادون. قالوا لئن لم تنته يا لوط لتكونن من المخرجين. قال إني لعملكم من القالين. رب نجني وأهلي مما يعملون. فنجيناه وأهله أجمعين. إلا عجوزا في الغابرين. ثم دمرنا الآخرين. وأمطرنا عليهم مطرا فساء مطر المنذرين. إن في ذلك لآية وما كان أكثرهم مؤمنين. وإن ربك لهو العزيز الرحيم.
26:176-191	كذب أصحاب الأيكة المرسلين. إذ قال لهم شعيب ألا تتقون. إني لكم رسول أمين. فاتقوا الله وأطيعون. وما أسألكم عليه من أجر إن أجري إلا على رب العالمين. أوفوا الكيل ولا تكونوا من المخسرين. وزنوا بالقسطاس المستقيم. ولا تبخسوا الناس أشياءهم ولا تعثوا في الأرض مفسدين. واتقوا الذي خلقكم والجبلة الأولين. قالوا إنما أنت من المسحرين. وما أنت إلا بشر مثلنا وإن نظنك لمن الكاذبين. فأسقط علينا كسفا من السماء إن كنت من الصادقين. قال ربي أعلم بما تعملون. فكذبوه فأخذهم عذاب يوم الظلة إنه كان عذاب يوم عظيم. إن في ذلك لآية وما كان أكثرهم مؤمنين. وإن ربك لهو العزيز الرحيم.
26:192-212	وإنه لتنزيل رب العالمين. نزل به الروح الأمين. على قلبك لتكون من المنذرين. بلسان عربي مبين. وإنه لفي زبر الأولين. أولم يكن لهم آية أن يعلمه علماء بني إسرائيل. ولو نزلناه على بعض الأعجمين. فقرأه عليهم ما كانوا به مؤمنين. كذلك سلكناه في قلوب المجرمين. لا يؤمنون به حتى يروا العذاب الأليم. فيأتيهم بغتة وهم لا يشعرون. فيقولوا هل نحن منظرون. أفبعذابنا يستعجلون. أفرأيت إن متعناهم سنين. ثم جاءهم ما كانوا يوعدون. ما أغنى عنهم ما كانوا يمتعون. وما أهلكنا من قرية إلا لها منذرون. ذكرى وما كنا ظالمين. وما تنزلت به الشياطين. وما ينبغي لهم وما يستطيعون. إنهم عن السمع لمعزولون.
26:213-227	فلا تدع مع الله إلها آخر فتكون من المعذبين. وأنذر عشيرتك الأقربين. واخفض جناحك لمن اتبعك من المؤمنين. فإن عصوك فقل إني بريء مما تعملون. وتوكل على العزيز الرحيم. الذي يراك حين تقوم. وتقلبك في الساجدين. إنه هو السميع العليم. هل أنبئكم على من تنزل الشياطين. تنزل على كل أفاك أثيم. يلقون السمع وأكثرهم كاذبون. والشعراء يتبعهم الغاوون. ألم تر أنهم في كل واد يهيمون. وأنهم يقولون ما لا يفعلون. إلا الذين آمنوا وعملوا الصالحات وذكروا الله كثيرا وانتصروا من بعد ما ظلموا وسيعلم الذين ظلموا أي منقلب ينقلبون.
27:1-6	طس تلك آيات القرآن وكتاب مبين. هدى وبشرى للمؤمنين. الذين يقيمون الصلاة ويؤتون الزكاة وهم بالآخرة هم يوقنون. إن الذين لا يؤمنون بالآخرة زينا لهم أعمالهم فهم يعمهون. أولئك الذين لهم سوء العذاب وهم في الآخرة هم الأخسرون. وإنك لتلقى القرآن من لدن حكيم عليم.
27:7-14	إذ قال موسى لأهله إني آنست نارا سآتيكم منها بخبر أو آتيكم بشهاب قبس لعلكم تصطلون. فلما جاءها نودي أن بورك من في النار ومن حولها وسبحان الله رب العالمين. يا موسى إنه أنا الله العزيز الحكيم. وألق عصاك فلما رآها تهتز كأنها جان ولى مدبرا ولم يعقب يا موسى لا تخف إني لا يخاف لدي المرسلون. إلا من ظلم ثم بدل حسنا بعد سوء فإني غفور رحيم. وأدخل يدك في جيبك تخرج بيضاء من غير سوء في تسع آيات إلى فرعون وقومه إنهم كانوا قوما فاسقين. فلما جاءتهم آياتنا مبصرة قالوا هذا سحر مبين. وجحدوا بها واستيقنتها أنفسهم ظلما وعلوا فانظر كيف كان عاقبة المفسدين.
27:15-19	ولقد آتينا داوود وسليمان علما وقالا الحمد لله الذي فضلنا على كثير من عباده المؤمنين. وورث سليمان داوود وقال يا أيها الناس علمنا منطق الطير وأوتينا من كل شيء إن هذا لهو الفضل المبين. وحشر لسليمان جنوده من الجن والإنس والطير فهم يوزعون. حتى إذا أتوا على واد النمل قالت نملة يا أيها النمل ادخلوا مساكنكم لا يحطمنكم سليمان وجنوده وهم لا يشعرون. فتبسم ضاحكا من قولها وقال رب أوزعني أن أشكر نعمتك التي أنعمت علي وعلى والدي وأن أعمل صالحا ترضاه وأدخلني برحمتك في عبادك الصالحين.
27:20-28	وتفقد الطير فقال ما لي لا أرى الهدهد أم كان من الغائبين. لأعذبنه عذابا شديدا أو لأذبحنه أو ليأتيني بسلطان مبين. فمكث غير بعيد فقال أحطت بما لم تحط به وجئتك من سبإ بنبإ يقين. إني وجدت امرأة تملكهم وأوتيت من كل شيء ولها عرش عظيم. وجدتها وقومها يسجدون للشمس من دون الله وزين لهم الشيطان أعمالهم فصدهم عن السبيل فهم لا يهتدون. ألا يسجدوا لله الذي يخرج الخبء في السماوات والأرض ويعلم ما تخفون وما تعلنون. الله لا إله إلا هو رب العرش العظيم. قال سننظر أصدقت أم كنت من الكاذبين. اذهب بكتابي هذا فألقه إليهم ثم تول عنهم فانظر ماذا يرجعون.
27:29-37	قالت يا أيها الملأ إني ألقي إلي كتاب كريم. إنه من سليمان وإنه بسم الله الرحمن الرحيم. ألا تعلوا علي وأتوني مسلمين. قالت يا أيها الملأ أفتوني في أمري ما كنت قاطعة أمرا حتى تشهدون. قالوا نحن أولو قوة وأولو بأس شديد والأمر إليك فانظري ماذا تأمرين. قالت إن الملوك إذا دخلوا قرية أفسدوها وجعلوا أعزة أهلها أذلة وكذلك يفعلون. وإني مرسلة إليهم بهدية فناظرة بم يرجع المرسلون. فلما جاء سليمان قال أتمدونن بمال فما آتاني الله خير مما آتاكم بل أنتم بهديتكم تفرحون. ارجع إليهم فلنأتينهم بجنود لا قبل لهم بها ولنخرجنهم منها أذلة وهم صاغرون.
27:38-44	قال يا أيها الملأ أيكم يأتيني بعرشها قبل أن يأتوني مسلمين. قال عفريت من الجن أنا آتيك به قبل أن تقوم من مقامك وإني عليه لقوي أمين. قال الذي عنده علم من الكتاب أنا آتيك به قبل أن يرتد إليك طرفك فلما رآه مستقرا عنده قال هذا من فضل ربي ليبلوني أأشكر أم أكفر ومن شكر فإنما يشكر لنفسه ومن كفر فإن ربي غني كريم. قال نكروا لها عرشها ننظر أتهتدي أم تكون من الذين لا يهتدون. فلما جاءت قيل أهكذا عرشك قالت كأنه هو وأوتينا العلم من قبلها وكنا مسلمين. وصدها ما كانت تعبد من دون الله إنها كانت من قوم كافرين. قيل لها ادخلي الصرح فلما رأته حسبته لجة وكشفت عن ساقيها قال إنه صرح ممرد من قوارير قالت رب إني ظلمت نفسي وأسلمت مع سليمان لله رب العالمين.
27:45-53	ولقد أرسلنا إلى ثمود أخاهم صالحا أن اعبدوا الله فإذا هم فريقان يختصمون. قال يا قوم لم تستعجلون بالسيئة قبل الحسنة لولا تستغفرون الله لعلكم ترحمون. قالوا اطيرنا بك وبمن معك قال طائركم عند الله بل أنتم قوم تفتنون. وكان في المدينة تسعة رهط يفسدون في الأرض ولا يصلحون. قالوا تقاسموا بالله لنبيتنه وأهله ثم لنقولن لوليه ما شهدنا مهلك أهله وإنا لصادقون. ومكروا مكرا ومكرنا مكرا وهم لا يشعرون. فانظر كيف كان عاقبة مكرهم أنا دمرناهم وقومهم أجمعين. فتلك بيوتهم خاوية بما ظلموا إن في ذلك لآية لقوم يعلمون. وأنجينا الذين آمنوا وكانوا يتقون.
27:54-58	ولوطا إذ قال لقومه أتأتون الفاحشة وأنتم تبصرون. أئنكم لتأتون الرجال شهوة من دون النساء بل أنتم قوم تجهلون. فما كان جواب قومه إلا أن قالوا أخرجوا آل لوط من قريتكم إنهم أناس يتطهرون. فأنجيناه وأهله إلا امرأته قدرناها من الغابرين. وأمطرنا عليهم مطرا فساء مطر المنذرين.
27:59-66	قل الحمد لله وسلام على عباده الذين اصطفى آلله خير أما يشركون. أمن خلق السماوات والأرض وأنزل لكم من السماء ماء فأنبتنا به حدائق ذات بهجة ما كان لكم أن تنبتوا شجرها أإله مع الله بل هم قوم يعدلون. أمن جعل الأرض قرارا وجعل خلالها أنهارا وجعل لها رواسي وجعل بين البحرين حاجزا أإله مع الله بل أكثرهم لا يعلمون. أمن يجيب المضطر إذا دعاه ويكشف السوء ويجعلكم خلفاء الأرض أإله مع الله قليلا ما تذكرون. أمن يهديكم في ظلمات البر والبحر ومن يرسل الرياح بشرا بين يدي رحمته أإله مع الله تعالى الله عما يشركون. أمن يبدأ الخلق ثم يعيده ومن يرزقكم من السماء والأرض أإله مع الله قل هاتوا برهانكم إن كنتم صادقين. قل لا يعلم من في السماوات والأرض الغيب إلا الله وما يشعرون أيان يبعثون. بل ادارك علمهم في الآخرة بل هم في شك منها بل هم منها عمون.
27:67-75	وقال الذين كفروا أإذا كنا ترابا وآباؤنا أئنا لمخرجون. لقد وعدنا هذا نحن وآباؤنا من قبل إن هذا إلا أساطير الأولين. قل سيروا في الأرض فانظروا كيف كان عاقبة المجرمين. ولا تحزن عليهم ولا تكن في ضيق مما يمكرون. ويقولون متى هذا الوعد إن كنتم صادقين. قل عسى أن يكون ردف لكم بعض الذي تستعجلون. وإن ربك لذو فضل على الناس ولكن أكثرهم لا يشكرون. وإن ربك ليعلم ما تكن صدورهم وما يعلنون. وما من غائبة في السماء والأرض إلا في كتاب مبين.
27:76-78	إن هذا القرآن يقص على بني إسرائيل أكثر الذي هم فيه يختلفون. وإنه لهدى ورحمة للمؤمنين. إن ربك يقضي بينهم بحكمه وهو العزيز العليم.
27:79-81	فتوكل على الله إنك على الحق المبين. إنك لا تسمع الموتى ولا تسمع الصم الدعاء إذا ولوا مدبرين. وما أنت بهادي العمي عن ضلالتهم إن تسمع إلا من يؤمن بآياتنا فهم مسلمون.
27:82-88	وإذا وقع القول عليهم أخرجنا لهم دابة من الأرض تكلمهم أن الناس كانوا بآياتنا لا يوقنون. ويوم نحشر من كل أمة فوجا ممن يكذب بآياتنا فهم يوزعون. حتى إذا جاءوا قال أكذبتم بآياتي ولم تحيطوا بها علما أماذا كنتم تعملون. ووقع القول عليهم بما ظلموا فهم لا ينطقون. ألم يروا أنا جعلنا الليل ليسكنوا فيه والنهار مبصرا إن في ذلك لآيات لقوم يؤمنون. ويوم ينفخ في الصور ففزع من في السماوات ومن في الأرض إلا من شاء الله وكل أتوه داخرين. وترى الجبال تحسبها جامدة وهي تمر مر السحاب صنع الله الذي أتقن كل شيء إنه خبير بما تفعلون.
27:89-93	من جاء بالحسنة فله خير منها وهم من فزع يومئذ آمنون. ومن جاء بالسيئة فكبت وجوههم في النار هل تجزون إلا ما كنتم تعملون. إنما أمرت أن أعبد رب هذه البلدة الذي حرمها وله كل شيء وأمرت أن أكون من المسلمين. وأن أتلو القرآن فمن اهتدى فإنما يهتدي لنفسه ومن ضل فقل إنما أنا من المنذرين. وقل الحمد لله سيريكم آياته فتعرفونها وما ربك بغافل عما تعملون.
28:1-6	طسم. تلك آيات الكتاب المبين. نتلو عليك من نبإ موسى وفرعون بالحق لقوم يؤمنون. إن فرعون علا في الأرض وجعل أهلها شيعا يستضعف طائفة منهم يذبح أبناءهم ويستحيي نساءهم إنه كان من المفسدين. ونريد أن نمن على الذين استضعفوا في الأرض ونجعلهم أئمة ونجعلهم الوارثين. ونمكن لهم في الأرض ونري فرعون وهامان وجنودهما منهم ما كانوا يحذرون.
28:7-13	وأوحينا إلى أم موسى أن أرضعيه فإذا خفت عليه فألقيه في اليم ولا تخافي ولا تحزني إنا رادوه إليك وجاعلوه من المرسلين. فالتقطه آل فرعون ليكون لهم عدوا وحزنا إن فرعون وهامان وجنودهما كانوا خاطئين. وقالت امرأت فرعون قرت عين لي ولك لا تقتلوه عسى أن ينفعنا أو نتخذه ولدا وهم لا يشعرون. وأصبح فؤاد أم موسى فارغا إن كادت لتبدي به لولا أن ربطنا على قلبها لتكون من المؤمنين. وقالت لأخته قصيه فبصرت به عن جنب وهم لا يشعرون. وحرمنا عليه المراضع من قبل فقالت هل أدلكم على أهل بيت يكفلونه لكم وهم له ناصحون. فرددناه إلى أمه كي تقر عينها ولا تحزن ولتعلم أن وعد الله حق ولكن أكثرهم لا يعلمون.
28:14-19	ولما بلغ أشده واستوى آتيناه حكما وعلما وكذلك نجزي المحسنين. ودخل المدينة على حين غفلة من أهلها فوجد فيها رجلين يقتتلان هذا من شيعته وهذا من عدوه فاستغاثه الذي من شيعته على الذي من عدوه فوكزه موسى فقضى عليه قال هذا من عمل الشيطان إنه عدو مضل مبين. قال رب إني ظلمت نفسي فاغفر لي فغفر له إنه هو الغفور الرحيم. قال رب بما أنعمت علي فلن أكون ظهيرا للمجرمين. فأصبح في المدينة خائفا يترقب فإذا الذي استنصره بالأمس يستصرخه قال له موسى إنك لغوي مبين. فلما أن أراد أن يبطش بالذي هو عدو لهما قال يا موسى أتريد أن تقتلني كما قتلت نفسا بالأمس إن تريد إلا أن تكون جبارا في الأرض وما تريد أن تكون من المصلحين.
28:20-21	وجاء رجل من أقصى المدينة يسعى قال يا موسى إن الملأ يأتمرون بك ليقتلوك فاخرج إني لك من الناصحين. فخرج منها خائفا يترقب قال رب نجني من القوم الظالمين.
28:22-28	ولما توجه تلقاء مدين قال عسى ربي أن يهديني سواء السبيل. ولما ورد ماء مدين وجد عليه أمة من الناس يسقون ووجد من دونهم امرأتين تذودان قال ما خطبكما قالتا لا نسقي حتى يصدر الرعاء وأبونا شيخ كبير. فسقى لهما ثم تولى إلى الظل فقال رب إني لما أنزلت إلي من خير فقير. فجاءته إحداهما تمشي على استحياء قالت إن أبي يدعوك ليجزيك أجر ما سقيت لنا فلما جاءه وقص عليه القصص قال لا تخف نجوت من القوم الظالمين. قالت إحداهما يا أبت استأجره إن خير من استأجرت القوي الأمين. قال إني أريد أن أنكحك إحدى ابنتي هاتين على أن تأجرني ثماني حجج فإن أتممت عشرا فمن عندك وما أريد أن أشق عليك ستجدني إن شاء الله من الصالحين. قال ذلك بيني وبينك أيما الأجلين قضيت فلا عدوان علي والله على ما نقول وكيل.
28:29-32	فلما قضى موسى الأجل وسار بأهله آنس من جانب الطور نارا قال لأهله امكثوا إني آنست نارا لعلي آتيكم منها بخبر أو جذوة من النار لعلكم تصطلون. فلما أتاها نودي من شاطئ الواد الأيمن في البقعة المباركة من الشجرة أن يا موسى إني أنا الله رب العالمين. وأن ألق عصاك فلما رآها تهتز كأنها جان ولى مدبرا ولم يعقب يا موسى أقبل ولا تخف إنك من الآمنين. اسلك يدك في جيبك تخرج بيضاء من غير سوء واضمم إليك جناحك من الرهب فذانك برهانان من ربك إلى فرعون وملئه إنهم كانوا قوما فاسقين.
28:33-35	قال رب إني قتلت منهم نفسا فأخاف أن يقتلون. وأخي هارون هو أفصح مني لسانا فأرسله معي ردءا يصدقني إني أخاف أن يكذبون. قال سنشد عضدك بأخيك ونجعل لكما سلطانا فلا يصلون إليكما بآياتنا أنتما ومن اتبعكما الغالبون.
28:36-43	فلما جاءهم موسى بآياتنا بينات قالوا ما هذا إلا سحر مفترى وما سمعنا بهذا في آبائنا الأولين. وقال موسى ربي أعلم بمن جاء بالهدى من عنده ومن تكون له عاقبة الدار إنه لا يفلح الظالمون. وقال فرعون يا أيها الملأ ما علمت لكم من إله غيري فأوقد لي يا هامان على الطين فاجعل لي صرحا لعلي أطلع إلى إله موسى وإني لأظنه من الكاذبين. واستكبر هو وجنوده في الأرض بغير الحق وظنوا أنهم إلينا لا يرجعون. فأخذناه وجنوده فنبذناهم في اليم فانظر كيف كان عاقبة الظالمين. وجعلناهم أئمة يدعون إلى النار ويوم القيامة لا ينصرون. وأتبعناهم في هذه الدنيا لعنة ويوم القيامة هم من المقبوحين. ولقد آتينا موسى الكتاب من بعد ما أهلكنا القرون الأولى بصائر للناس وهدى ورحمة لعلهم يتذكرون.
28:44-46	وما كنت بجانب الغربي إذ قضينا إلى موسى الأمر وما كنت من الشاهدين. ولكنا أنشأنا قرونا فتطاول عليهم العمر وما كنت ثاويا في أهل مدين تتلو عليهم آياتنا ولكنا كنا مرسلين. وما كنت بجانب الطور إذ نادينا ولكن رحمة من ربك لتنذر قوما ما أتاهم من نذير من قبلك لعلهم يتذكرون.
28:47-50	ولولا أن تصيبهم مصيبة بما قدمت أيديهم فيقولوا ربنا لولا أرسلت إلينا رسولا فنتبع آياتك ونكون من المؤمنين. فلما جاءهم الحق من عندنا قالوا لولا أوتي مثل ما أوتي موسى أولم يكفروا بما أوتي موسى من قبل قالوا سحران تظاهرا وقالوا إنا بكل كافرون. قل فأتوا بكتاب من عند الله هو أهدى منهما أتبعه إن كنتم صادقين. فإن لم يستجيبوا لك فاعلم أنما يتبعون أهواءهم ومن أضل ممن اتبع هواه بغير هدى من الله إن الله لا يهدي القوم الظالمين.
28:51-56	ولقد وصلنا لهم القول لعلهم يتذكرون. الذين آتيناهم الكتاب من قبله هم به يؤمنون. وإذا يتلى عليهم قالوا آمنا به إنه الحق من ربنا إنا كنا من قبله مسلمين. أولئك يؤتون أجرهم مرتين بما صبروا ويدرءون بالحسنة السيئة ومما رزقناهم ينفقون. وإذا سمعوا اللغو أعرضوا عنه وقالوا لنا أعمالنا ولكم أعمالكم سلام عليكم لا نبتغي الجاهلين. إنك لا تهدي من أحببت ولكن الله يهدي من يشاء وهو أعلم بالمهتدين.
28:57-59	وقالوا إن نتبع الهدى معك نتخطف من أرضنا أولم نمكن لهم حرما آمنا يجبى إليه ثمرات كل شيء رزقا من لدنا ولكن أكثرهم لا يعلمون. وكم أهلكنا من قرية بطرت معيشتها فتلك مساكنهم لم تسكن من بعدهم إلا قليلا وكنا نحن الوارثين. وما كان ربك مهلك القرى حتى يبعث في أمها رسولا يتلو عليهم آياتنا وما كنا مهلكي القرى إلا وأهلها ظالمون.
28:60-67	وما أوتيتم من شيء فمتاع الحياة الدنيا وزينتها وما عند الله خير وأبقى أفلا تعقلون. أفمن وعدناه وعدا حسنا فهو لاقيه كمن متعناه متاع الحياة الدنيا ثم هو يوم القيامة من المحضرين. ويوم يناديهم فيقول أين شركائي الذين كنتم تزعمون. قال الذين حق عليهم القول ربنا هؤلاء الذين أغوينا أغويناهم كما غوينا تبرأنا إليك ما كانوا إيانا يعبدون. وقيل ادعوا شركاءكم فدعوهم فلم يستجيبوا لهم ورأوا العذاب لو أنهم كانوا يهتدون. ويوم يناديهم فيقول ماذا أجبتم المرسلين. فعميت عليهم الأنباء يومئذ فهم لا يتساءلون. فأما من تاب وآمن وعمل صالحا فعسى أن يكون من المفلحين.
